X,Y
-87.61351106,41.80028188
-87.62410822,41.79944015
-87.61203227,41.79195493
-87.62584963,41.80112095
-87.61159457,41.79907734
-87.62072457,41.7878884
-87.60687203,41.80107841
-87.6158678,41.78299434
-87.62228667,41.79498156
-87.60753602,41.79214979
-87.62316929,41.78287245
-87.60886789,41.78985572
-87.62230545,41.79934162
-87.61198113,41.79641673
-87.6177919,41.79426059
-87.60700998,41.7982497
-87.60840764,41.79554451
-87.62482554,41.78171602
-87.62648796,41.78726238
-87.61126242,41.79070734
-87.60883087,41.79015961
-87.62111391,41.80017577
-87.61334081,41.79591337
-87.61888877,41.78622468
-87.61133812,41.79467436
-87.60674801,41.78698946
-87.62390058,41.80030022
-87.6170276,41.79128783
-87.60945697,41.79253297
-87.61954842,41.79866464
-87.60998963,41.79076876
-87.61722755,41.79303658
-87.61112045,41.80030117
-87.61280815,41.79595046
-87.61363605,41.79527305
-87.61653315,41.80174701
-87.61025965,41.79957236
-87.5977767,41.79651908
-87.58640886,41.79192833
-87.5960998,41.80222536
-87.60349139,41.79454489
-87.59263894,41.8004938
-87.59483176,41.78670796
-87.58760854,41.79052627
-87.58074899,41.79371123
-87.59385823,41.79210014
-87.59544401,41.79373252
-87.58768316,41.79428074
-87.58591618,41.79877994
-87.60143565,41.79997477
-87.58532221,41.78786425
-87.60497136,41.79985296
-87.59110936,41.80129234
-87.59108987,41.78903367
-87.60136931,41.80191698
-87.57964031,41.78610162
-87.59669861,41.79296225
-87.59687273,41.78999739
-87.59310816,41.79233526
-87.59170099,41.78702641
-87.58677972,41.79224212
-87.59328108,41.78860164
-87.59479049,41.79989023
-87.6030429,41.79075167
-87.59661248,41.78710397
-87.6051312,41.78816419
-87.58157086,41.80138788
-87.59300729,41.8002584
-87.58428765,41.79819277
-87.60601983,41.80196499
-87.60512514,41.79454488
-87.58284768,41.79514295
-87.60618887,41.79905754
-87.58627865,41.80159905
-87.60305752,41.79754876
-87.58081154,41.79736402
-87.57968405,41.7965441
-87.58554312,41.7987981
-87.59733291,41.80057629
-87.59397836,41.78644327
-87.58484178,41.79251311
-87.58044682,41.78945166
-87.59756457,41.80207505
-87.58528641,41.79908687
-87.58964332,41.79895847
-87.59507723,41.80104374
-87.59338694,41.79745638
-87.60241352,41.79913932
